HL/PO/JO/10/1/82/107,"54.71079, -2.87676"
HL/PO/JO/10/1/83/1,"53.187448, -3.41148"
HL/PO/JO/10/1/83/2,
HL/PO/JO/10/1/83/3,
HL/PO/JO/10/1/83/4,
HL/PO/JO/10/1/83/5,"51.728569, -1.543425"
HL/PO/JO/10/1/83/6,"50.94202, -3.31809"
HL/PO/JO/10/1/83/7,"50.99825, -3.39514"
HL/PO/JO/10/1/83/8,"50.96662, -3.36809"
HL/PO/JO/10/1/83/9,"50.96102, -3.3426"
HL/PO/JO/10/1/83/10,"51.01421, -3.49089"
HL/PO/JO/10/1/83/11,"50.90589, -3.32812"
HL/PO/JO/10/1/83/12,
HL/PO/JO/10/1/83/13,"50.919571, -3.37935"
HL/PO/JO/10/1/83/14,"50.88915, -3.37048"
